Category,Sub Category,ProductDescription,Barcode,TescoProductID,BaseID,Price (£),Unit Price (£),Unit Of Measure,SpecialOffer,OfferStartDate,OfferEndDate,CurrentlyAvailable,DateScraped,WebLink,Aldi Price Match,Deposit
Fresh Fruit,Bananas,Tesco Small Bananas 6 Pack,00000003251416	,285157326,77427870,1.85,0.31,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/285157326,No,
Fresh Fruit,Bananas,Tesco Bananas Loose,00261480000000	,275280804,50502269,0.33,1.82,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/275280804,No,
Fresh Fruit,Berries & Cherries,Tesco Blueberry 150G,00000003341315	,304074280,74025146,2.09,13.93,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/304074280,No,
Fresh Fruit,Berries & Cherries,Tesco Strawberry 227G,00000003234648	,278001994,73967432,2.79,12.29,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/278001994,No,
Fresh Fruit,Berries & Cherries,Keelings Strawberry 227G,00000053994110	,274923634,72419058,2.99,13.17,kg,Any 3 for €8 Clubcard Price - Selected Keelings Or Bagu Fruits,02/07/2026,23/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/274923634,No,
Fresh Fruit,Berries & Cherries,Tesco Raspberries 125G,00000010056950	,256078792,50240814,2.49,19.92,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/256078792,No,
Fresh Fruit,Bananas,Tesco Fairtrade Organic Bananas 5 Pack,00000003341148	,303869954,86775489,2.09,0.42,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/303869954,No,
Fresh Fruit,Grapes,Tesco Red Seedless Grapes 500G,00000010066140	,260138854,58175124,2.89,5.78,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/260138854,No,
Fresh Fruit,Apples & Pears,Tesco Pink Lady Apple Each,00000003249130	,284182372,76921689,0.6,0.6,each,Any 5 for €2 Clubcard Price - Selected Tesco Fruits,09/04/2026,31/10/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/284182372,No,
Fresh Fruit,Grapes,Tesco Seedless Grape Selection Pack 500G,00000010066126	,260138514,52607839,2.99,5.98,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/260138514,No,
Fresh Fruit,Apples & Pears,Tesco Pink Lady Apples 5 Pack,00000003249833	,284477542,77091643,3.29,0.66,each,Any 2 for €4 Clubcard Price - Selected Tesco Fruit,07/05/2026,27/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/284477542,No,
Fresh Fruit,Berries & Cherries,Keelings Blueberry 150G,05391521910172	,314583445,91998707,2.99,19.93,kg,Any 3 for €8 Clubcard Price - Selected Keelings Or Bagu Fruits,02/07/2026,23/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/314583445,No,
Fresh Fruit,Apples & Pears,Tesco Fun-Sized Apples 10 Pack,00000010111604	,268508082,67764560,1.99,0.2,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/268508082,No,
Fresh Fruit,Berries & Cherries,Keelings Raspberry 125G,00000053994035	,265585419,64919596,2.99,23.92,kg,Any 3 for €8 Clubcard Price - Selected Keelings Or Bagu Fruits,02/07/2026,23/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/265585419,No,
Fresh Fruit,"Oranges, Lemons & Citrus Fruit",Tesco Easy Peeler Pack 750G,00000003341131	,303759559,86711370,2.69,3.59,kg,Any 2 for €4 Clubcard Price - Selected Tesco Fruit,07/05/2026,27/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/303759559,No,
Fresh Fruit,Berries & Cherries,Tesco Strawberry 400G,00000003269527	,292962071,81334392,4.49,11.22,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/292962071,No,
Fresh Fruit,Apples & Pears,Pink Lady Kids Apples - Cripps Pink 5 Pack,03700476661428	,303007973,86332236,2.29,0.46,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/303007973,No,
Fresh Fruit,Grapes,Tesco Green Seedless Grapes Pack 500G,00000010066096	,260138290,57431537,2.89,5.78,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/260138290,No,
Fresh Fruit,"Oranges, Lemons & Citrus Fruit",Tesco Limes 4 Pack,00000003340219	,303174831,71194387,1.15,0.29,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/303174831,No,
Fresh Fruit,"Mango, Kiwi & Exotic Fruit",Keelings Golden Kiwi 4pk,05391521911438	,322156865,96925159,3.29,0.82,each,Any 3 for €8 Clubcard Price - Selected Keelings Or Bagu Fruits,02/07/2026,23/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/322156865,No,
